,active,address,address_line_2,city,county,createdate,dayphone,license,organization,state,type,ubi,zip
47,ACTIVE (ISSUED),1120 S FAIRCHILD ST #A,#A,MEDICAL LAKE,SPOKANE,20171010,4254453704,418443,WASHINGTON SOURCE,WA,MARIJUANA PROCESSOR,6033354110010000,992028778
48,ACTIVE (ISSUED),4290 STATE ROUTE 283 N STE A,,QUINCY,GRANT,20171108,8447473360,412358,QUINCY GREEN,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033495900010000,988489749
49,ACTIVE (ISSUED),4340 SE BLOOMFIELD RD STE B,,SHELTON,MASON,20171024,2067697373,412687,OG FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033490610010000,985848642
50,ACTIVE (ISSUED),3300 6TH AVE S,,SEATTLE,KING,20171201,5628848694,417095,CULTIVAR FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033485770010000,981040000
51,ACTIVE (ISSUED),21412 HIGHWAY 99  STE A,,EDMONDS,SNOHOMISH,20171216,3039577942,422570,GREEN COLLAR NORTH,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033583850010000,980267748
52,ACTIVE (ISSUED),1874 BATUM RD N  STE 300,STE 300,ODESSA,ADAMS,20180223,5095311437,417409,POPA'S FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033597330010000,991590000
53,ACTIVE (ISSUED),21802 MOUNTAIN HWY E  STE 1,,SPANAWAY,PIERCE,20170810,3052988577,413420,THE GALLERY SPANAWAY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033367320010000,983870000
54,ACTIVE (ISSUED),2111 E 11TH ST,,BREMERTON,KITSAP,20171230,3606207114,420661,BUDEEZ,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035688640010000,983104810
55,ACTIVE (ISSUED),659 ANTOINE CREEK RD,,CHELAN,OKANOGAN,20171223,2062952284,412138,ANTOINE CREEK FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033484830010000,988168653
56,ACTIVE (ISSUED),716 NW 65TH ST,,SEATTLE,KING,20180209,2065577388,402039,HERB'S HOUSE,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6032851830010000,981175049
57,ACTIVE (ISSUED),2990 RADER RD,,ELLENSBURG,KITTITAS,20171023,2065515239,412416,GROW BROS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033490980010000,989267750
58,ACTIVE (ISSUED),20025 DUBUQUE RD,STE A,SNOHOMISH,SNOHOMISH,20180305,4259999936,413917,JEFFERSON'S OWN,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033754570010000,982907405
59,ACTIVE (ISSUED),7656 STATE ROUTE 20 UNIT A,,ANACORTES,SKAGIT,20171222,3605886222,421652,ANACORTES CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033570100010000,982218311
60,ACTIVE (ISSUED),4950 ARENA RD,,RICHLAND,BENTON,20171115,5098082391,424951,NIRVANA CANNABIS COMPANY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033591910010000,993527857
61,ACTIVE (ISSUED),185 ZEPEDA RD BLDG 1,,FORKS,CLALLAM,20171102,3606400391,413066,ALPHA BUDZ,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033508930010000,983319606
62,ACTIVE (ISSUED),539 EASTMAN RD,STE B,EASTSOUND,SAN JUAN,20180306,3603196945,416633,SWEETBRIAR FARM,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6005661620020000,982459388
63,ACTIVE (ISSUED),2911 4TH AVE S,,SEATTLE,KING,20180212,9544947976,423842,DOSE OIL,WA,MARIJUANA PROCESSOR,6035268380010000,981340000
64,ACTIVE (ISSUED),3015 EVERETT AVE,,EVERETT,SNOHOMISH,20171026,4258793437,421005,BUDS GARAGE,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033500470010000,982013822
65,ACTIVE (ISSUED),1888 BOBLETT ST,,BLAINE,WHATCOM,20171121,3605262929,423681,ZENTA GARDEN,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033526110010000,982305118
66,ACTIVE (ISSUED),5809 112TH ST E BLDG B,,PUYALLUP,PIERCE,20171127,2069924008,423413,112TH STREET CANNABIS,WA,MARIJUANA RETAILER,6033491670010000,983734323
67,ACTIVE (ISSUED),23921 SOFIE ROAD,,MONROE,SNOHOMISH,20171024,4253597905,416333,DAB NW,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033504670010000,982727225
68,ACTIVE (ISSUED),7521 POSTMA RD,SUITE C,MOXEE,YAKIMA,20180224,3606680176,417179,PARADISE VALLEY PRODUCTIONS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033760820010000,989369706
69,ACTIVE (ISSUED),15001 AURORA AVE N,STE 15029,SHORELINE,KING,20171214,2066186094,414569,DOCKSIDE CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033546970010000,981336134
70,ACTIVE (ISSUED),1225 HOLLIS ST,,BREMERTON,KITSAP,20171219,3603406996,414503,DESTINATION HIGHWAY 420,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6034539570010000,983103611
71,ACTIVE (ISSUED),3724 EAST HOFF RD,,EVERSON,WHATCOM,20171109,3605807702,413923,TOKELAND GROWING,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033549430010000,982470000
72,ACTIVE (ISSUED),73 PIT RD,STE A,BREWSTER,OKANOGAN,20171007,2064223123,412860,GREEN POWER OF WASHINGTON,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033303590010000,988120000
73,ACTIVE (ISSUED),205 B OTTO  ST,,PORT TOWNSEND,JEFFERSON,20171127,3106005324,417097,CENTRAL BUSINESS DISTRICT,WA,MARIJUANA PROCESSOR,6033571330010000,983680000
74,ACTIVE (ISSUED),8509 NEPPEL RD NE,,MOSES LAKE,GRANT,20180303,2538315632,415456,FILUCY BAY FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034771970010000,988370000
75,ACTIVE (ISSUED),4710 EAGLE HARBOR DR. UNIT A,,BAINBRIDGE ISLAND,KITSAP,20170831,4255030962,422745,CANNABIS SUPER STORE LLC,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035462660010000,981102188
76,ACTIVE (ISSUED),6725 MARTIN WAY E,,OLYMPIA,THURSTON,20171002,3605397291,421335,THC OF LACEY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6040474400010000,985165541
77,ACTIVE (ISSUED),31526 N LIDGERWOOD LN STE 1,,DEER PARK,SPOKANE,20171013,5094136600,412743,FUNKY FARMS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033512300010000,990068327
78,ACTIVE (ISSUED),5693A MUDGETT LAKE RD,,FRUITLAND,STEVENS,20170829,3608883429,416589,OLYMPIC GARDENING,WA,MARIJUANA PRODUCER TIER 3,6034384050010000,991299767
79,ACTIVE (ISSUED),3 ROLLING HILLS DR SUITE 2,STE 2,TONASKET,OKANOGAN,20180305,2062256099,415689,MNS - PNP,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033494460010000,988559782
80,ACTIVE (ISSUED),234 OMAK RIVER RD STE A,,OMAK,OKANOGAN,20171012,6502815236,417316,CANNA-MED,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6034445030010000,988419673
81,ACTIVE (ISSUED),13120 W MEADOW LAKE RD,STE A,CHENEY,SPOKANE,20171205,4254424595,416788,CULTURED ELEMENTS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6034497820010000,990049034
82,ACTIVE (ISSUED),11509 W 21ST AVE BLD 2,STE 300,AIRWAY HEIGHTS,SPOKANE,20171215,5099905340,413225,PNG,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6034781770010000,990015101
83,ACTIVE (ISSUED),103B GALBREATH WAY,,RITZVILLE,ADAMS,20180125,5092187818,422658,THE GRASS STATION,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035551830010000,991690000
84,ACTIVE (ISSUED),14601 PALM CT,,YAKIMA,YAKIMA,20180126,5095718134,416310,REDTAIL,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6032725330010000,989089757
85,ACTIVE (ISSUED),1611 S SMITTYS BLVD  STE B,STE B,RITZVILLE,ADAMS,20180109,5096600497,423203,IT IS LIT,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035809000010000,991692264
86,ACTIVE (ISSUED),8529 52ND ST SE,,SNOHOMISH,SNOHOMISH,20171214,4257896996,421642,BUDHUT,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035699590010000,982909282
87,ACTIVE (ISSUED),3230 E HWY 101,,PORT ANGELES,CLALLAM,20171109,3604529395,412921,THE HIDDEN BUSH,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033511330010000,983629073
88,ACTIVE (ISSUED),449 WICHMAN ST S STE A,,TENINO,THURSTON,20170928,3608274217,415484,THE HERBAL CENTER,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033274470010000,985899376
89,ACTIVE (ISSUED),6309 EVERGREEN WAY STE C,,EVERETT,SNOHOMISH,20171027,2067691282,414520,KUSHMART,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033472500010000,982034559
90,ACTIVE (ISSUED),9327 UMPTANUM RD,,ELLENSBURG,KITTITAS,20171130,2063564937,412306,DENDRO,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033492820010000,989268754
91,ACTIVE (ISSUED),5980 CAPITOL BLVD SE,,TUMWATER,THURSTON,20170803,3604026368,424848,420 CAPITOL,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035340690010000,985015274
92,ACTIVE (ISSUED),8305 SCHIRM RD NW,STE A & B,OLYMPIA,THURSTON,20180203,3608663808,417185,KITTY'S CANNA CONNECTION,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6034659880010000,985029650
93,ACTIVE (ISSUED),305 W 4TH ST STE A,,TONASKET,OKANOGAN,20171130,3607853843,422454,TONASKET HOUSE OF CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035188950010000,988550000
94,ACTIVE (ISSUED),5937 CHUCKANUT DR,,BOW,SKAGIT,20171230,3607703732,417252,MIND BENDER ENTERPRISES,WA,MARIJUANA PRODUCER TIER 2,6034627320010000,982329295
95,ACTIVE (ISSUED),"18601 HIGHWAY 99, SUITE 200",,LYNNWOOD,SNOHOMISH,20180201,2066607221,422526,PUGET SOUND CANNABIS COMPANY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035859930010000,980374576
96,ACTIVE (ISSUED),7118 E JENNIE LN #A,,SPOKANE,SPOKANE,20171201,5099993310,412995,ORGANIC GROWN CANNABIS,WA,MARIJUANA PRODUCER TIER 1,6033543260010000,992123085
97,ACTIVE (ISSUED),28680 MAPLE VALLEY BLACK,DIAMOND RD SE STE A,MAPLE VALLEY,KING,20180215,2534595741,421953,GOOBIE'S DOOBIES,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035764710010000,980388193
98,ACTIVE (ISSUED),17410 ASH WAY SUITE 4,,LYNNWOOD,SNOHOMISH,20180306,5097270110,422057,HASH WAY RECREATIONAL,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035813490010000,980377907
99,ACTIVE (ISSUED),4905 GUIDE MERIDIAN RD,#3,BELLINGHAM,WHATCOM,20171215,3603939499,416153,MT BAKER GROWERS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033558490010000,982269109
100,ACTIVE (ISSUED),7029 GUIDE MERIDIAN RD SUITE C,,LYNDEN,WHATCOM,20171202,3607529494,412747,DELTA#NINE,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033505550010000,982649669
101,ACTIVE (ISSUED),2917 NE 65TH ST,STE H,VANCOUVER,CLARK,20180201,3607198195,414289,EVER GREEN,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034888700010000,986630000
102,ACTIVE (ISSUED),19417 63RD AVE NE,,ARLINGTON,SNOHOMISH,20180222,2062543005,412446,MOUNTAIN HI,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6034443540010000,982237843
103,ACTIVE (ISSUED),4263 12TH ST SE,STE A,EAST WENATCHEE,DOUGLAS,20171205,5098819804,412135,GECKO GROWERS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033466510010000,988028724
104,ACTIVE (ISSUED),3134 E HIGHWAY 101 SUITE A,,PORT ANGELES,CLALLAM,20180118,3608082532,413930,MUFFYS POT SHOP,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033593550010000,983629074
105,ACTIVE (ISSUED),2939 4TH AVE S STE 104,STE 104,SEATTLE,KING,20180103,2069002660,424878,AMERICAN BAKED CO,WA,MARIJUANA PROCESSOR,6033592820010000,981341934
106,ACTIVE (ISSUED),6833 112TH ST NE,,ARLINGTON,KING,20180222,4257700025,426325,GROWERS GUILD,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033523050010000,982236279
107,ACTIVE (ISSUED),8109 E BRATT RD   STE A,STE A,FAIRFIELD,SPOKANE,20180303,3603037327,413431,CONSCIOUS FAMILY FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033575940010000,990129654
108,ACTIVE (ISSUED),907 N WENATCHEE AVENUE STE B,,WENATCHEE,CHELAN,20171108,5096699160,415645,THE BACK PORCH,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6032552340010000,985011572
109,ACTIVE (ISSUED),1199 W CUNNINGHAM RD STE C-E1,STE C-E1,OTHELLO,ADAMS,20180105,2066697242,425324,BEACON FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033574780010000,993449004
110,ACTIVE (ISSUED),14110 EAST MT SPOKANE PARK DR,STE A,MEAD,SPOKANE,20170906,5097209784,415968,BLACK DIAMOND FARMS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033228580010000,990210000
111,ACTIVE (ISSUED),43112 248TH AVE SE UNIT C,,ENUMCLAW,KING,20171123,2068544337,413175,WILBER INDUSTRIES,WA,MARIJUANA PRODUCER TIER 2,6033541670010000,980220000
112,ACTIVE (ISSUED),1120 FAIRCHILD ST  STE D,STE D,MEDICAL LAKE,SPOKANE,20171116,5099513022,419271,CONSCIOUS CANNABIS,WA,MARIJUANA PRODUCER TIER 2,6033593090010000,990228778
113,ACTIVE (ISSUED),1430 MARINE DR,,SEQUIM,CLALLAM,20171106,9493007380,412106,TROPIC GROW,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033403760010000,983829574
114,ACTIVE (ISSUED),2919 S ALASKA ST,,TACOMA,PIERCE,20180301,2065799464,417142,AGRO COUTURE,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6030883930010000,984097804
115,ACTIVE (ISSUED),4639 NUMBER TWO CANYON RD STEA,STE A,WENATCHEE,CHELAN,20180125,3605809641,415859,CLOVIS POINT CANNABIS,WA,MARIJUANA PRODUCER TIER 3,6033565060010000,988012398
116,ACTIVE (ISSUED),"41711 STATE ROUTE 2, #1",,GOLD BAR,SNOHOMISH,20180213,3602178951,415509,LAST STOP POT SHOP,WA,MARIJUANA RETAILER,6033594910010000,982510000
117,ACTIVE (ISSUED),9212 RIVERSIDE AVE E  STE B,,SUMNER,PIERCE,20180116,2069993986,426121,VERTICAL HIGH,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033580620010000,983900000
118,PENDING (ISSUED),1824 RD N NE UNIT 4,,MOSES LAKE,GRANT,20180213,2063693912,419691,BC TL,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033537640010000,988370000
119,ACTIVE (ISSUED),26740 VASHON HWY SW,,VASHON,KING,20171024,2063549734,417297,REVERIE ENTERPRISES LLC,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6040338380010000,980708319
120,ACTIVE (ISSUED),4380 KAWECKI ROAD STE A-B,STE A,MALAGA,CHELAN,20171221,2066731984,416111,FAR WEST ENTERPRISE,WA,MARIJUANA PRODUCER TIER 2,6033546850010000,988290000
